;Question;Answer;BT_Level
5456;how many portugese speakers are there today ?;this marked the end of the longest-lived european colonial empire , leaving a profound cultural and architectural influence across the globe and a legacy of over 250 million portuguese speakers today .;Knowledge
5457;from what name is portugal derived ?;the name of portugal derives from the joined romano-celtic name portus cale .;Knowledge
5458;by what group was the portugal region settled ?;the region was settled by pre-celts and celts , giving origin to peoples like the gallaeci , lusitanians , celtici and cynetes , visited by phoenicians and carthaginians , incorporated in the roman republic dominions as lusitania and part of gallaecia , after 45 bc until 298 ad , settled again by suebi , buri , and visigoths , and conquered by moors .;Knowledge
5459;to what four peoples did the settlement of portugal give rise ?;the region was settled by pre-celts and celts , giving origin to peoples like the gallaeci , lusitanians , celtici and cynetes , visited by phoenicians and carthaginians , incorporated in the roman republic dominions as lusitania and part of gallaecia , after 45 bc until 298 ad , settled again by suebi , buri , and visigoths , and conquered by moors .;Knowledge
5460;during what years was the portugal region incorporated in the roman republic ?;the region was settled by pre-celts and celts , giving origin to peoples like the gallaeci , lusitanians , celtici and cynetes , visited by phoenicians and carthaginians , incorporated in the roman republic dominions as lusitania and part of gallaecia , after 45 bc until 298 ad , settled again by suebi , buri , and visigoths , and conquered by moors .;Knowledge
5461;from what old germanic word is alenquer originate ?;"other influences include some 5th-century vestiges of alan settlement , which were found in alenquer ( old germanic alankerk , from alan + kerk ; meaning church of the alan ( people ) , coimbra and lisbon .";Knowledge
5462;in what year did lusitania become a roman province ?;in 27 bc , lusitania gained the status of roman province .;Knowledge
5463;what was the northern province of lusitania known as ?;later , a northern province of lusitania was formed , known as gallaecia , with capital in bracara augusta , today 's braga .;Knowledge
5464;what are two large roman sites that still exist today in portugal ?;numerous roman sites are scattered around present-day portugal , some urban remains are quite large , like conímbriga and mirobriga .;Knowledge
5465;what are castros ?;there are still many ruins of castros ( hill forts ) all over modern portugal and remains of castro culture .;Knowledge
5466;how far apart are conimbriga and coimbra ?;conímbriga lies 16 km from coimbra which by its turn was the ancient aeminium ) .;Comprehension
5467;how long did it take the umayyad caliphate to defeat the visigoths ?;after defeating the visigoths in only a few months , the umayyad caliphate started expanding rapidly in the peninsula .;Knowledge
5468;in what year did portugal become a part of umayyad caliphate 's empire ?;beginning in 711 , the land that is now portugal became part of the vast umayyad caliphate 's empire of damascus , which stretched from the indus river in the indian sub-continent ( now pakistan ) up to the south of france , until its collapse in 750 .;Knowledge
5469;in which year did umayyad caliphate 's empire collapse ?;beginning in 711 , the land that is now portugal became part of the vast umayyad caliphate 's empire of damascus , which stretched from the indus river in the indian sub-continent ( now pakistan ) up to the south of france , until its collapse in 750 .;Knowledge
5470;under whom did the western part of umayyad caliphate 's empire gain its independence ?;that year the west of the empire gained its independence under abd-ar-rahman i with the establishment of the emirate of córdoba .;Knowledge
5471;how long did it take the emirate to become the caliphate of codoba ?;after almost two centuries , the emirate became the caliphate of córdoba in 929 , until its dissolution a century later in 1031 into no less than 23 small kingdoms , called taifa kingdoms .;Knowledge
5472;what were the governors of the taifas called ?;the governors of the taifas each proclaimed themselves emir of their provinces and established diplomatic relations with the christian kingdoms of the north .;Knowledge
5473;which which kingdoms did the taifas establish diplomatic relations ?;the governors of the taifas each proclaimed themselves emir of their provinces and established diplomatic relations with the christian kingdoms of the north .;Knowledge
5474;to which taifa did most of portugal fall into ?;most of portugal fell into the hands of the taifa of badajoz of the aftasid dynasty , and after a short spell of an ephemeral taifa of lisbon in 1022 , fell under the dominion of the taifa of seville of the abbadids poets .;Knowledge
5475;in which year did the taifa period end ?;the taifa period ended with the conquest of the almoravids who came from morocco in 1086 winning a decisive victory at the battle of sagrajas , followed a century later in 1147 , after the second period of taifa , by the almohads , also from marrakesh .;Knowledge
5476;which battle took place in 1147 ?;the taifa period ended with the conquest of the almoravids who came from morocco in 1086 winning a decisive victory at the battle of sagrajas , followed a century later in 1147 , after the second period of taifa , by the almohads , also from marrakesh .;Knowledge
5477;what are converts to islam called ?;the muslim population of the region consisted mainly of native iberian converts to islam ( the so-called muwallad or muladi ) and to a lesser extent berbers and arabs .;Knowledge
5478;who did the arabs principally consist of ?;"the arabs were principally noblemen from oman ; and though few in numbers , they constituted the elite of the population .";Knowledge
5479;where were the berbers originally from ?;the berbers were originally from the atlas mountains and rif mountains of north africa and were essentially nomads .;Knowledge
5480;in which region of portugal did the muslim population stay ?;in portugal , the muslim population ( or `` moors '' ) , relatively small in numbers , stayed in the algarve region , and south of the tagus .;Knowledge
5481;how many modern portugese words have arabic origins ?;today , there are approximately 800 words in the portuguese language of arabic origin .;Knowledge
5482;who was the eldest son of alfonso iii and what did he become king of ?;the eldest son , garcía , became king of león .;Knowledge
5483;who was the second son of alfonso iii and what did he become king of ?;the second son , ordoño , reigned in galicia , while the third , fruela , received asturias with oviedo as his capital .;Knowledge
5484;who was alfonso iii 's third son and what area did he receive ?;the second son , ordoño , reigned in galicia , while the third , fruela , received asturias with oviedo as his capital .;Knowledge
5485;in which year did alfonso iii likely die ?;alfonso died in zamora , probably in 910 .;Knowledge
5486;in which year was the kingdom of castile formed ?;it continued under that name -lsb- clarification needed -rsb- until incorporated into the kingdom of castile in 1230 , after ferdinand iii became joint king of the two kingdoms .;Knowledge
5487;which years were plagued by the black death ?;in 1348 and 1349 portugal , like the rest of europe , was devastated by the black death .;Knowledge
5488;in 1373 , portugal made an alliance with which country ?;in 1373 , portugal made an alliance with england , which is the longest-standing alliance in the world .;Evaluation
5489;what is the longest standing alliance in the world ?;in 1373 , portugal made an alliance with england , which is the longest-standing alliance in the world .;Knowledge
5490;the portugal-english alliance served as the predecessor to what ?;this alliance served both nations ' interests throughout history and is regarded by many as the predecessor to nato .;Knowledge
5491;in which portugese region is there still visible english influence ?;particularly in the oporto region , there is visible english influence to this day .;Comprehension
5492;what european age did portugal spearhead ?;portugal spearheaded european exploration of the world and the age of discovery .;Knowledge
5493;who was the father of prince henry the navigator ?;prince henry the navigator , son of king joão i , became the main sponsor and patron of this endeavour .;Knowledge
5494;which three atlantic archipelagos did portugal discover ?;during this period , portugal explored the atlantic ocean , discovering several atlantic archipelagos like the azores , madeira , and cape verde , explored the african coast , colonized selected areas of africa , discovered an eastern route to india via the cape of good hope , discovered brazil , explored the indian ocean , established trading routes throughout most of southern asia , and sent the first direct european maritime trade and diplomatic missions to china and japan .;Knowledge
5495;by which path did portugal discover a route to india ?;during this period , portugal explored the atlantic ocean , discovering several atlantic archipelagos like the azores , madeira , and cape verde , explored the african coast , colonized selected areas of africa , discovered an eastern route to india via the cape of good hope , discovered brazil , explored the indian ocean , established trading routes throughout most of southern asia , and sent the first direct european maritime trade and diplomatic missions to china and japan .;Synthesis
5496;what south american country did portugal discover ?;during this period , portugal explored the atlantic ocean , discovering several atlantic archipelagos like the azores , madeira , and cape verde , explored the african coast , colonized selected areas of africa , discovered an eastern route to india via the cape of good hope , discovered brazil , explored the indian ocean , established trading routes throughout most of southern asia , and sent the first direct european maritime trade and diplomatic missions to china and japan .;Knowledge
5497;did the king 's confidence in de melo increase or decrease ?;as the king 's confidence in de melo increased , the king entrusted him with more control of the state .;Evaluation
5498;what title was given to de melo in 1755 ?;by 1755 , sebastião de melo was made prime minister .;Knowledge
5499;with whose economic success was de melo impressed with ?;impressed by british economic success that he had witnessed from the ambassador , he successfully implemented similar economic policies in portugal .;Evaluation
5500;who abolished slavery in portugal ?;by 1755 , sebastião de melo was made prime minister .;Knowledge
5501;who ended discrimination against difference christian sects in portugal ?;by 1755 , sebastião de melo was made prime minister .;Knowledge
5502;what were de melo 's greatest reforms ?;but sebastião de melo 's greatest reforms were economic and financial , with the creation of several companies and guilds to regulate every commercial activity .;Knowledge
5503;why did e melo demarcate the region for production of port ?;he demarcated the region for production of port to ensure the wine 's quality , and this was the first attempt to control wine quality and production in europe .;Knowledge
5504;among which class did de melo 's reforms gain him the most enemies ?;these reforms gained him enemies in the upper classes , especially among the high nobility , who despised him as a social upstart .;Knowledge
5505;who was the first person to try to ensure the wine 's quality in portugal ?;but sebastião de melo 's greatest reforms were economic and financial , with the creation of several companies and guilds to regulate every commercial activity .;Knowledge
5506;did de melo impose strict laws only on one class of people ?;he ruled with a strong hand by imposing strict law upon all classes of portuguese society from the high nobility to the poorest working class , along with a widespread review of the country 's tax system .;Evaluation
5507;until when did the portuguese government resist decolonization of their overseas territories ?;the portuguese government and army successfully resisted the decolonization of its overseas territories until april 1974 , when a bloodless left-wing military coup in lisbon , known as the carnation revolution , led the way for the independence of the overseas territories in africa and asia , as well as for the restoration of democracy after two years of a transitional period known as prec ( processo revolucionário em curso ) .;Knowledge
5508;what was the carnation revolution ?;the portuguese government and army successfully resisted the decolonization of its overseas territories until april 1974 , when a bloodless left-wing military coup in lisbon , known as the carnation revolution , led the way for the independence of the overseas territories in africa and asia , as well as for the restoration of democracy after two years of a transitional period known as prec ( processo revolucionário em curso ) .;Knowledge
5509;by what was the prec characterized by ?;this period was characterized by social turmoil and power disputes between left - and right-wing political forces .;Knowledge
5510;what entity governed portugal until 1976 ?;the country continued to be governed by a junta de salvação nacional until the portuguese legislative election of 1976 .;Knowledge
5511;which party won the portuguese election in 1976 ?;it was won by the portuguese socialist party ( ps ) and mário soares , its leader , became prime minister of the 1st constitutional government on 23 july .;Knowledge
5512;who became the prime minister of portugal in 1976 ?;it was won by the portuguese socialist party ( ps ) and mário soares , its leader , became prime minister of the 1st constitutional government on 23 july .;Knowledge
5513;through what years was mario soares the portuguese prime minister ?;mário soares would be prime minister from 1976 to 1978 and again from 1983 to 1985 .;Knowledge
5514;between which two political ideals did portugal bounce between ?;the country bounced between socialism and adherence to the neoliberal model .;Knowledge
5515;in what year was the portuguese constitution approved ?;"land reform and nationalizations were enforced ; the portuguese constitution ( approved in 1976 ) was rewritten in order to accommodate socialist and communist principles .";Knowledge
5516;for what reasons were the portuguese constitution rewritten ?;"land reform and nationalizations were enforced ; the portuguese constitution ( approved in 1976 ) was rewritten in order to accommodate socialist and communist principles .";Knowledge
5517;what type of climate does portugal have ?;"portugal is defined as a mediterranean climate ( csa in the south , interior , and douro region ; csb in the north , central portugal and coastal alentejo ; mixed oceanic climate along the northern half of the coastline and also semi-arid climate or steppe climate ( bsk in certain parts of beja district far south ) according to the köppen-geiger climate classification ) , and is one of the warmest european countries : the annual average temperature in mainland portugal varies from 8 -- 12 °c ( 46.4 -- 53.6 °f ) in the mountainous interior north to 16 -- 19 °c ( 60.8 -- 66.2 °f ) in the south and on the guadiana river basin .";Knowledge
5518;in the mountainous interior north of portugal , between what degrees is the average temperature ?;"portugal is defined as a mediterranean climate ( csa in the south , interior , and douro region ; csb in the north , central portugal and coastal alentejo ; mixed oceanic climate along the northern half of the coastline and also semi-arid climate or steppe climate ( bsk in certain parts of beja district far south ) according to the köppen-geiger climate classification ) , and is one of the warmest european countries : the annual average temperature in mainland portugal varies from 8 -- 12 °c ( 46.4 -- 53.6 °f ) in the mountainous interior north to 16 -- 19 °c ( 60.8 -- 66.2 °f ) in the south and on the guadiana river basin .";Comprehension
5519;in the south of portugal and on the guadiana river basin , between what degrees does the average temperature fluctuate ?;"portugal is defined as a mediterranean climate ( csa in the south , interior , and douro region ; csb in the north , central portugal and coastal alentejo ; mixed oceanic climate along the northern half of the coastline and also semi-arid climate or steppe climate ( bsk in certain parts of beja district far south ) according to the köppen-geiger climate classification ) , and is one of the warmest european countries : the annual average temperature in mainland portugal varies from 8 -- 12 °c ( 46.4 -- 53.6 °f ) in the mountainous interior north to 16 -- 19 °c ( 60.8 -- 66.2 °f ) in the south and on the guadiana river basin .";Analysis
5520;how high do the mountains between algarve and the alentejo region reach ?;the algarve , separated from the alentejo region by mountains reaching up to 900 metres ( 3,000 ft ) in alto de fóia , has a climate similar to that of the southern coastal areas of spain or southwest australia .;Analysis
5521;what type of climate do the archipelagos of the azores and madeira have ?;both the archipelagos of the azores and madeira have a subtropical climate , although variations between islands exist , making weather predictions very difficult ( owing to rough topography ) .;Knowledge
5522;what makes weather predictions difficult in the archipelago region ?;both the archipelagos of the azores and madeira have a subtropical climate , although variations between islands exist , making weather predictions very difficult ( owing to rough topography ) .;Analysis
5523;what type of climate does the island of the azores have ?;consequently , the island of the azores have been identified as having a mediterranean climate ( both csa and csb types ) , while some islands ( such as flores or corvo ) are classified as maritime temperate ( cfb ) and humid subtropical ( cfa ) , respectively , according to köppen-geiger classification .;Knowledge
5524;what two types of forests can be found in geres ?;in gerês both deciduous and coniferous forests can be found , an extremely rare worldwide mature mediterranean forest remain in some parts of the arrábida mountain and a subtropical laurissilva forest , dating back to the tertiary period , covers its largest continuous area in the world in the madeira main island .;Knowledge
5525;to what period does the laurissilva forest date back to ?;in gerês both deciduous and coniferous forests can be found , an extremely rare worldwide mature mediterranean forest remain in some parts of the arrábida mountain and a subtropical laurissilva forest , dating back to the tertiary period , covers its largest continuous area in the world in the madeira main island .;Knowledge
5526;what type of oak tree is colonizing many abandoned areas in portugal ?;due to the human population decrease and rural exodus , pyrenean oak and other local native trees are colonizing many abandoned areas .;Knowledge
5527;what wild animal was recently found roaming urban areas in portugal ?;boars were found recently roaming at night inside large urban areas , like in setubal .;Knowledge
5528;how many national parks does portugal have ?;protected areas of portugal include one national park ( portuguese : parque nacional ) , 12 natural parks ( portuguese : parque natural ) , nine natural reserves ( portuguese : reserva natural ) , five natural monuments ( portuguese : monumento natural ) , and seven protected landscapes ( portuguese : paisagem protegida ) , which include the parque nacional da peneda-gerês , the parque natural da serra da estrela and the paul d'arzila .;Knowledge
5529;what is laurisilva ?;laurisilva is a unique type of subtropical rainforest found in few areas of europe and the world : in the azores , and in particular on the island of madeira , there are large forests of endemic laurisilva forests ( the latter protected as a natural heritage preserve ) .;Knowledge
5530;what are some examples of mammalian fauna found in laurisilva forests ?;there are several species of diverse mammalian fauna , including the fox , badger , iberian lynx , iberian wolf , wild goat ( capra pyrenaica ) , wild cat ( felis silvestris ) , hare , weasel , polecat , chameleon , mongoose , civet , brown bear -lsb- citation needed -rsb- ( spotted near rio minho , close to peneda-gerês ) and many others .;Knowledge
5531;what type of animal crosses between europe and africa during the autumn ?;portugal is an important stopover for migratory birds , in places such as cape st. vincent or the monchique mountains , where thousands of birds cross from europe to africa during the autumn or in the spring ( return migration ) .;Analysis
5532;how many freshwater fish species can be found in portugal ?;there are more than 100 freshwater fish species , varying from the giant european catfish ( in the tagus international natural park ) to some small and endemic species that live only in small lakes ( along the western portion of country , for example ) .;Knowledge
5533;in portugal , where can you find the giant european catfish ?;there are more than 100 freshwater fish species , varying from the giant european catfish ( in the tagus international natural park ) to some small and endemic species that live only in small lakes ( along the western portion of country , for example ) .;Evaluation
5534;why are some species becoming endangered in portugal ?;some of these rare and specific species are highly endangered because of habitat loss , pollution and drought .;Knowledge
5535;what type of glowing species can be found on some beaches in portugal ?;bioluminescent species are also well represented ( including species in different colour spectrum and forms ) , like the glowing plankton that are possible to observe in some beaches .;Knowledge
5536;who is the current president of portugal ?;the president , who is elected to a five-year term , has an executive role : the current president is aníbal cavaco silva .;Knowledge
5537;how many deputies make up the assembly of the republic ?;the assembly of the republic is a single chamber parliament composed of 230 deputies elected for a four-year term .;Knowledge
5538;for how long of a term are deputies elected ?;the assembly of the republic is a single chamber parliament composed of 230 deputies elected for a four-year term .;Knowledge
5539;what two political parties dominate portugal 's government ?;the assembly of the republic , regional assemblies and local municipalities and parishes , are dominated by two political parties , the socialist party and the social democratic party , in addition to the unitary democratic coalition ( portuguese communist party and ecologist party `` the greens '' ) , the left bloc and the democratic and social centre -- people 's party , which garner between 5 and 15 % of the vote regularly .;Knowledge
5540;at what three levels does the portugal government operate ?;portugal operates a multi-party system of competitive legislatures/local administrative governments at the national - , regional - and local-levels .;Knowledge
5541;what other political groups exist other than the two dominant ones ?;the assembly of the republic , regional assemblies and local municipalities and parishes , are dominated by two political parties , the socialist party and the social democratic party , in addition to the unitary democratic coalition ( portuguese communist party and ecologist party `` the greens '' ) , the left bloc and the democratic and social centre -- people 's party , which garner between 5 and 15 % of the vote regularly .;Knowledge
5542;what percentage of the vote do the non-dominant parties get ?;the assembly of the republic , regional assemblies and local municipalities and parishes , are dominated by two political parties , the socialist party and the social democratic party , in addition to the unitary democratic coalition ( portuguese communist party and ecologist party `` the greens '' ) , the left bloc and the democratic and social centre -- people 's party , which garner between 5 and 15 % of the vote regularly .;Knowledge
5543;who is the head of state of portugal ?;the head of state of portugal is the president of the republic , elected to a five-year term by direct , universal suffrage .;Knowledge
5544;by what means is the president of the republic elected ?;the head of state of portugal is the president of the republic , elected to a five-year term by direct , universal suffrage .;Knowledge
5545;who has the power to appoint and dismiss the prime minister ?;the head of state of portugal is the president of the republic , elected to a five-year term by direct , universal suffrage .;Evaluation
5546;what group acts as the presidential cabinet ?;the council of ministers -- under the presidency of the prime minister ( or the president of portugal at the latter 's request ) and the ministers ( may also include one or more deputy prime ministers ) -- acts as the cabinet .;Knowledge
5547;what process is required of each government 's policies ?;each government is required to define the broad outline of its policies in a programme , and present it to the assembly for a mandatory period of debate .;Analysis
5548;what is needed to reject a cabinet 's policy ?;the failure of the assembly to reject the government programme by an absolute majority of deputies confirms the cabinet in office .;Evaluation
5549;portuguese law continues to be a major influence for what ?;portuguese law applied in the former colonies and territories and continues to be the major influence for those countries .;Evaluation
5550;what is the policia de seguranca publica - psp ( public security police ) ?;"portugal 's main police organizations are the guarda nacional republicana -- gnr ( national republican guard ) , a gendarmerie ; the polícia de segurança pública -- psp ( public security police ) , a civilian police force who work in urban areas ; and the polícia judiciária -- pj ( judicial police ) , a highly specialized criminal investigation police that is overseen by the public ministry .";Knowledge
5551;what is the policia judiciaria - pj ( judicial police ) ?;"portugal 's main police organizations are the guarda nacional republicana -- gnr ( national republican guard ) , a gendarmerie ; the polícia de segurança pública -- psp ( public security police ) , a civilian police force who work in urban areas ; and the polícia judiciária -- pj ( judicial police ) , a highly specialized criminal investigation police that is overseen by the public ministry .";Knowledge
5552;which entity oversees the judicial police ?;"portugal 's main police organizations are the guarda nacional republicana -- gnr ( national republican guard ) , a gendarmerie ; the polícia de segurança pública -- psp ( public security police ) , a civilian police force who work in urban areas ; and the polícia judiciária -- pj ( judicial police ) , a highly specialized criminal investigation police that is overseen by the public ministry .";Knowledge
5553;in which year did portugal decriminalize drug possession ?;in 2001 , portugal decriminalized possession of effectively all drugs that are still illegal in other developed nations including , but not limited to , cannabis , cocaine , heroin , and lsd .;Knowledge
5554;how much of a drug is legal to possess ?;while possession is legal , trafficking and possession of more than `` 10 days worth of personal use '' are still punishable by jail time and fines .;Knowledge
5555;what option is allowed to those caught with small amounts of drugs ?;people caught with small amounts of any drug are given the choice to go to a rehab facility , and may refuse treatment without consequences .;Evaluation
5556;by 2009 , by how much had the rate of hiv infection decreased ?;despite criticism from other european nations , who stated portugal 's drug consumption would tremendously increase , overall drug use has declined along with the number of hiv infection cases , which had dropped 50 percent by 2009 .;Application
5557;how many municipalities is portugal divided into ?;administratively , portugal is divided into 308 municipalities ( portuguese : municípios or concelhos ) , which after a reform in 2013 are subdivided into 3,092 civil parishes ( portuguese : freguesia ) .;Knowledge
5558;how many civil parishes are the portuguese municipalities divided into ?;administratively , portugal is divided into 308 municipalities ( portuguese : municípios or concelhos ) , which after a reform in 2013 are subdivided into 3,092 civil parishes ( portuguese : freguesia ) .;Knowledge
5559;how many districts is the continental portugal divided into ?;"continental portugal is agglomerated into 18 districts , while the archipelagos of the azores and madeira are governed as autonomous regions ; the largest units , established since 1976 , are either mainland portugal ( portuguese : portugal continental ) and the autonomous regions of portugal ( azores and madeira ) .";Knowledge
5560;how many branches make up the portuguese armed forces ?;the armed forces have three branches : navy , army and air force .;Knowledge
5561;what are the branches of the portuguese armed forces ?;the armed forces have three branches : navy , army and air force .;Knowledge
5562;what is the primary purpose of the portuguese armed forces ?;they serve primarily as a self-defense force whose mission is to protect the territorial integrity of the country and provide humanitarian assistance and security at home and abroad .;Knowledge
5563;how many women were in the portuguese armed forces in 2008 ?;as of 2008 , the three branches numbered 39,200 active personnel including 7,500 women .;Knowledge
5564;how much money was spent on the portuguese armed forced in 2009 ?;portuguese military expenditure in 2009 was $ 5.2 billion , representing 2.1 percent of gdp .;Knowledge
5565;what is the number of personnel in the army ?;the army ( 21,000 personnel ) comprises three brigades and other small units .;Analysis
5566;with what is the infantry brigade mainly equipped with ?;an infantry brigade ( mainly equipped with pandur ii apc ) , a mechanized brigade ( mainly equipped with leopard 2 a6 tanks and m113 apc ) and a rapid reaction brigade ( consisting of paratroopers , commandos and rangers ) .;Knowledge
5567;what is the mechanized brigade mainly equipped with ?;an infantry brigade ( mainly equipped with pandur ii apc ) , a mechanized brigade ( mainly equipped with leopard 2 a6 tanks and m113 apc ) and a rapid reaction brigade ( consisting of paratroopers , commandos and rangers ) .;Knowledge
5568;what does the rapid reaction brigade consist of ?;an infantry brigade ( mainly equipped with pandur ii apc ) , a mechanized brigade ( mainly equipped with leopard 2 a6 tanks and m113 apc ) and a rapid reaction brigade ( consisting of paratroopers , commandos and rangers ) .;Knowledge
5569;how many personnel does the navy have ?;the navy ( 10,700 personnel , of which 1,580 are marines ) has five frigates , seven corvettes , two submarines , and 28 patrol and auxiliary vessels .;Knowledge
5570;in what two major conflicts did portugal engage in during the 20th century ?;in the 20th century , portugal engaged in two major conflicts : world war i and the portuguese colonial war ( 1961 -- 1974 ) .;Analysis
5571;during which years was the portuguese colonial war fought ?;in the 20th century , portugal engaged in two major conflicts : world war i and the portuguese colonial war ( 1961 -- 1974 ) .;Knowledge
5572;in what countries have the portuguese armed forces participated in peacekeeping missions ?;after the end of the portuguese empire in 1975 , the portuguese armed forces have participated in peacekeeping missions in east timor , bosnia , kosovo , afghanistan , somalia , iraq ( nasiriyah ) and lebanon .;Knowledge
5573;what are two examples of independent portuguese unilateral military operations conducted abroad ?;portugal also conducted several independent unilateral military operations abroad , as were the cases of the interventions of the portuguese armed forces in angola in 1992 and in guinea-bissau in 1998 with the main objectives of protecting and withdrawing of portuguese and foreign citizens threatened by local civil conflicts .;Knowledge
5574;who headed the government after the bailout was announced ?;after the bailout was announced , the portuguese government headed by pedro passos coelho managed to implement measures with the intention of improve the state 's financial situation , including tax hikes , a freeze of civil service-related lower-wages and cuts of higher-wages by 14.3 % , on top of the government 's spending cuts .;Knowledge
5575;what was the purpose of the portuguese bailout ?;after the bailout was announced , the portuguese government headed by pedro passos coelho managed to implement measures with the intention of improve the state 's financial situation , including tax hikes , a freeze of civil service-related lower-wages and cuts of higher-wages by 14.3 % , on top of the government 's spending cuts .;Knowledge
5576;how was the portuguese bailout implemented ?;after the bailout was announced , the portuguese government headed by pedro passos coelho managed to implement measures with the intention of improve the state 's financial situation , including tax hikes , a freeze of civil service-related lower-wages and cuts of higher-wages by 14.3 % , on top of the government 's spending cuts .;Synthesis
5577;between 2010 and 2012 , by what percentage were the wages of public servants cut ?;in 2012 , all public servants had already seen an average wage cut of 20 % relative to their 2010 baseline , with cuts reaching 25 % for those earning more than 1,500 euro per month .;Application
5578;in which year did the carnation revolution take place ?;a report released in january 2011 by the diário de notícias and published in portugal by gradiva , had demonstrated that in the period between the carnation revolution in 1974 and 2010 , the democratic portuguese republic governments encouraged over-expenditure and investment bubbles through unclear public -- private partnerships and funding of numerous ineffective and unnecessary external consultancy and advisory of committees and firms .;Knowledge
5579;between 1974 and 2010 , how did the portuguese government encourage over-expenditure and investment bubbles ?;a report released in january 2011 by the diário de notícias and published in portugal by gradiva , had demonstrated that in the period between the carnation revolution in 1974 and 2010 , the democratic portuguese republic governments encouraged over-expenditure and investment bubbles through unclear public -- private partnerships and funding of numerous ineffective and unnecessary external consultancy and advisory of committees and firms .;Analysis
5580;by whom was a report published in 2011 that demonstrated the portuguese government encouraged over-expenditure and investment bubbles ?;a report released in january 2011 by the diário de notícias and published in portugal by gradiva , had demonstrated that in the period between the carnation revolution in 1974 and 2010 , the democratic portuguese republic governments encouraged over-expenditure and investment bubbles through unclear public -- private partnerships and funding of numerous ineffective and unnecessary external consultancy and advisory of committees and firms .;Synthesis
5581;in what two years was there a financial crisis ?;after the financial crisis of 2007 -- 08 , it was known in 2008 -- 2009 that two portuguese banks ( banco português de negócios ( bpn ) and banco privado português ( bpp ) ) had been accumulating losses for years due to bad investments , embezzlement and accounting fraud .;Knowledge
5582;which two portuguese banks had been accumulating losses for years ?;after the financial crisis of 2007 -- 08 , it was known in 2008 -- 2009 that two portuguese banks ( banco português de negócios ( bpn ) and banco privado português ( bpp ) ) had been accumulating losses for years due to bad investments , embezzlement and accounting fraud .;Knowledge
5583;what caused bpn and bpp to accumulate losses ?;after the financial crisis of 2007 -- 08 , it was known in 2008 -- 2009 that two portuguese banks ( banco português de negócios ( bpn ) and banco privado português ( bpp ) ) had been accumulating losses for years due to bad investments , embezzlement and accounting fraud .;Comprehension
5584;why was the case of bpn more serious ?;the case of bpn was particularly serious because of its size , market share , and the political implications - portugal 's then current president , cavaco silva , and some of his political allies , maintained personal and business relationships with the bank and its ceo , who was eventually charged and arrested for fraud and other crimes .;Evaluation
5585;on what charge was bpn 's ceo arrested ?;the case of bpn was particularly serious because of its size , market share , and the political implications - portugal 's then current president , cavaco silva , and some of his political allies , maintained personal and business relationships with the bank and its ceo , who was eventually charged and arrested for fraud and other crimes .;Knowledge
5586;what currency does portugal use ?;the portuguese currency is the euro ( $ ) , which replaced the portuguese escudo , and the country was one of the original member states of the eurozone .;Analysis
5587;what currency did the euro replace in portugal ?;the portuguese currency is the euro ( $ ) , which replaced the portuguese escudo , and the country was one of the original member states of the eurozone .;Knowledge
5588;what is the name of portugal 's central bank ?;portugal 's central bank is the banco de portugal , an integral part of the european system of central banks .;Knowledge
5589;in what two areas are most portuguese industries , businesses , and financial institutions concentrated ?;most industries , businesses and financial institutions are concentrated in the lisbon and porto metropolitan areas -- the setúbal , aveiro , braga , coimbra and leiria districts are the biggest economic centres outside these two main areas .;Knowledge
5590;according to world travel awards , for what activity is portugal known as europe 's leading destination ?;-lsb- citation needed -rsb- according to world travel awards , portugal is the europe 's leading golf destination 2012 and 2013 .;Knowledge
5591;in which year did the carnation revolution take place ?;since the carnation revolution of 1974 , which culminated in the end of one of portugal 's most notable phases of economic expansion ( that started in the 1960s ) , a significant change has occurred in the nation 's annual economic growth .;Knowledge
5592;what period followed the carnation revolution ?;-lsb- citation needed -rsb- after the turmoil of the 1974 revolution and the prec period , portugal tried to adapt to a changing modern global economy , a process that continues in 2013 .;Knowledge
5593;since the 90 's , how has portugal 's economic development model been changing ?;since the 1990s , portugal 's public consumption-based economic development model has been slowly changing to a system that is focused on exports , private investment and the development of the high-tech sector .;Evaluation
5594;what are the more traditional industries that have existed in portugal ?;consequently , business services have overtaken more traditional industries such as textiles , clothing , footwear and cork ( portugal is the world 's leading cork producer ) , wood products and beverages .;Knowledge
5595;what is portugal the world 's leading producer of ?;consequently , business services have overtaken more traditional industries such as textiles , clothing , footwear and cork ( portugal is the world 's leading cork producer ) , wood products and beverages .;Knowledge
5596;by what entities was the portuguese economy bailed out ?;in the second decade of the 21st century the portuguese economy suffered its most severe recession since the 1970s resulting in the country having to be bailed out by the european commission , european central bank and international monetary fund .;Knowledge
5597;in what year was the economic bailout agreed to ?;the bailout , agreed to in 2011 , required portugal to enter into a range of austerity measures in exchange for funding support of $ 78 billion .;Knowledge
5598;how much money was agreed to in the financial bailout ?;the bailout , agreed to in 2011 , required portugal to enter into a range of austerity measures in exchange for funding support of $ 78 billion .;Knowledge
5599;when did portugal exit the bailout ?;in may 2014 the country exited the bailout but reaffirmed its commitment to maintaining its reformist momentum .;Knowledge
5600;by the time portugal exited the bailout , to what percentage had the unemployment rate fallen ?;at the time of exiting the bailout the economy had contracted by 0.7 % in the first quarter of 2014 , however unemployment , while still high had fallen to 15.3 percent .;Application
