Question;Level
determine which sub-stage that the deal is currently in for the following cases.;Application
explain greimas square tool and discuss how it can be applied the aviation industry.;Application
briefly discuss how tqm could be applied m the management of the newspapers ' editorials.;Application
show how nlp techniques can be deployed in business.;Application
demonstrate email and social media approaches to create effective marketing plan.;Application
pest and swot are popular strategy tools. discuss how the two ( 2 ) tools can be applied in manufacturing business environment.;Application
apply swot analysis in education environment and discuss its impact in the revenue analysis.;Application
briefly discuss how tqm could be applied m the management of the newspapers ' editorials.;Application
as a manager in an information technology firm , suggest and elaborate any three ( 3 ) actions that organizations can take as part of the responsibility towards the society.;Synthesis
suggest and elaborate any two ( 2 ) efforts or methods that your company may use in order to gain competitive advantage over your competitors.;Synthesis
explain each inventory control method and suggest two ( 2 ) types of products for each method.;Synthesis
discover four ( 4 ) characteristic of it infrastructure to be considered.;Synthesis
suggest a house-style and editorial policies for your newly introduced newspaper targeted at young readers aged between 15 to 25 years.;Synthesis
as an editor-in-chief , suggest how you can motivate your experienced journalists to remain with your paper.;Synthesis
prepare a research proposal on a study that you have to conduct on the purchasing behaviour of teenagers in the klang valley.;Synthesis
develop a questionnaire based on at least four open-ended and four closed-ended questions for the interviews.;Synthesis
use your imagination to create a picture about the story. then , add one new thing that was not in the story.;Synthesis
analyze a work of art in terms of form , color and texture.;Analysis
design a scientific study to test the effect of different kinds of music on hens’ egg production.;Synthesis
rewrite the story from an animal’s point of view.;Synthesis
develop a proof ... and justify each step ...;Evaluation
explain briefly the meaning of the following terms : demography , consumer sales promotion , and media mix;Knowledge
propose an alternative way to solve … ;Synthesis
design a record , book or magazine cover for...;Synthesis
how would you express _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ ?;Comprehension
how would you rank the items given the criteria ?;Evaluation
analyze the selected information.;Analysis
design a building to house your study.;Synthesis
class facility is an abstract class. explain what this means;Comprehension
write a tv show play , puppet show , role play , song or pantomime about..;Synthesis
discriminate the different parts of the story ( introduction , development , climax , resolution. );Analysis
what evidence can you list for...;Analysis
what hypotheses can you develop based on the data ? why ?;Synthesis
what has the author used to create this effect;Analysis
how does the law of supply and demand explain the current increase in the price of fruit ?;Application
sketch an experiment to see how plants grow in different kinds of soil.;Application
draw an illustration of the linked list after the execution of each of the statement below. ( use the original illustration for each question ).;Application
state in your own words ...;Comprehension
state in one word ...;Comprehension
name the authors of... ?;Knowledge
write a program that uses nested loops to print the following output :;Synthesis
prepare a list of criteria to judge ... evaluate expressions;Evaluation
draw a diagram explaining how air pressure affects the weather.;Comprehension
suggest a way to deal with this scenario;Application
draw a flowchart to accept a number and output its factorial.example 1: input 5 - > 5 ! = 5x4x3x2x1 - > output 120;Comprehension
create several scientific hypotheses to …;Synthesis
recall the main components of the flowchart;Knowledge
what criteria would you use to assess... ?;Evaluation
design or sketch a marketing strategy for your product using a known strategy as a model.;Application
explain what is happening in the first picture of the story.;Comprehension
how would you justify . . . ?;Evaluation
can you propose an alternative plan to . . . ?;Synthesis
create an advertising campaign;Synthesis
based on the above datatype class , list all the function members;Knowledge
your advice has been sought to settle the following dispute in company x. referring to appropriate legal principles , write a short report advising the company on the best course of action to adopt.;Evaluation
interpret the graph and state how many trees were cut down to produce paper.;Application
develop a menu for a new healthy foods restaurant;Synthesis
 `` don’t use public instance variables '' is defensive programming techniques. discuss why it is good advice ?;Evaluation
categorize the story into parts and think of a good title for each of the parts.;Analysis
list the _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ in descending order;Knowledge
can you explain what is happening . . . what is meant . . . ?;Comprehension
write an explanation about this topic for others;Application
name five cities in us.;Knowledge
can you think of an original way for collect and develop the . . . ?;Synthesis
judge how well a project meets the criteria of a rubric.;Evaluation
how would you classify the type of ... ?;Comprehension
list important information you can remember from lesson….;Knowledge
can you discriminate the difference parts . . . ?;Analysis
compare and contrast the two items and produce a summary of their similarities and differences;Analysis
what would you cite to defend the actions . . . ?;Evaluation
list the data members;Knowledge
design a new monetary system or an experiment for establishing.;Synthesis
what do you recall ... ?;Knowledge
in your own words , tell what the story is about.;Comprehension
justify the object oriented programming concept;Evaluation
write a poem about the story.;Synthesis
write a program to calculate the sqrt for array elements , you may use the math class function ( sqrt ) , the array should include 5 integer elements. the output should be the array elements along with their sqrt value.;Synthesis
judge the value of... what do you think about... ?;Evaluation
what criteria would you use to evaluate if your answer is correct ?;Evaluation
define inheritance concept;Knowledge
recall four facts from the story;Knowledge
propose a set of alternatives for reducing dependence on fossil fuels that address both economic and environmental concerns.;Synthesis
construct an alternative way to ...;Synthesis
write a c + + statement to declare a variable of type musictype name mytune.;Application
devise a different way of using x;Synthesis
describe how interest rates affect the economy;Comprehension
write a java program to show the overloading concept;Synthesis
how can you categorize _ _ _ _ according to... ?;Analysis
can you justify the decisions you have made ?;Evaluation
explain why the story has the title that it does.;Comprehension
memorize and recall the periodic table;Knowledge
write about your feelings in relation to...;Synthesis
choose the best statements that apply ...;Application
identify the key points in the text;Comprehension
explain what is meant.;Comprehension
write a journal from the point of view of mountaineer.;Synthesis
what evidence can you find to suggest that people should be regarded as the most important resource of an organisation ?;Analysis
list the fractions you know and can show….;Knowledge
how can you differentiate between... ?;Analysis
create several different strategies to solve a mathematical problem.;Synthesis
how can you describe _ _ _ _ _ _ _ _ _ _ _ _ _ ?;Comprehension
rewrite the story briefly , but change someone or something in it. ( for example , substitute a dog for a wolf in the three little pigs ).;Synthesis
explain how the heart is like a pump.;Comprehension
write 5 new titles for the story that would give a good idea of what it was about;Synthesis
list two local variables in the main function;Knowledge
discriminate the pros and cons of _ _ _ _.;Analysis
list the attributes of the following shape.;Knowledge
judge the validity of arguments for and against astrology;Evaluation
list two reference parameters in the sethour function;Knowledge
draw a diagram to show the memory configuration after the following statements ....;Analysis
how can you explain what is meant ... ?;Comprehension
outline how class arraylist could be implemented using an array;Evaluation
develop a set of criteria for distinguishing between a good and bad example of this.;Analysis
rate the following recommendations and set the priority _ _ _ _ _.;Evaluation
can you assess the value or importance of . . . ?;Evaluation
identify three mistakes from the passage and correct them.;Comprehension
"trace the value of alpha after the following code executes. int alpha [5 ] ;int j ;alpha [0 ] = 5 ;for ( j = 1 ; j < 5 ; j + + ) {if ( j % 2 = = 0 )alpha [j ] = alpha [j – 1 ] + 2 ;else alpha [j ] = alpha [j – 1 ] + 3 ; }";Analysis
sketch a diagram which shows these fractions or take photographs of the fractions.;Application
write the definition of displaysize method for each class;Application
write a textbook about this topic for others.;Application
define method in java.;Knowledge
what data was used to evaluate _ _ _ _ _ _ _ _ _ _ _ _ ?;Evaluation
make a list of the main events of the story.;Knowledge
explain what is happening...;Comprehension
explain in one sentence what the method incfromn does;Comprehension
can you defend your position about ... ?;Evaluation
name three 19th-century women english authors.;Knowledge
demonstrate and illustrate measures of central tendency and dispersion , write a journal entry.;Application
write what you might have done.;Application
analyze a distinction. state the point of view of . . .;Analysis
predict what would happen if ...;Application
analyze the following questionnaire.;Analysis
how can you distinguish the different parts of _ _ _ _ _ ?;Analysis
prepare a case to present , and evaluate your view about ...;Evaluation
name all the characters in the story.;Knowledge
can you propose a model that would change . . . ?;Synthesis
define morphology;Knowledge
"trace the contents of matrix from the following statements int matrix [3 ] [2 ] ;int j , k ;for ( j = 0 ; j < 3 ; j + + )for ( k =h 0 ; k < 2 ; k + + )matrik [j ] [k ] = j + k ;";Analysis
justify the concept of inheritance and give the sample of code to illustrate your answer.;Evaluation
can you develop method to handle the following case . . . ?;Synthesis
label the parts of the diagram;Knowledge
write another ending to the story that is different from the author’s ending.;Synthesis
suggest any two ( 2 ) efforts that organization may perform in order to discourage unethical behavior.;Synthesis
define factors of production.;Knowledge
briefly describe five ( 5 ) general types of factors of production.;Comprehension
discuss how resource based view can be implemented in organizations to reinforce financial standing.;Application
in your opinion , provide any two ( 2 ) reasons why the actions of one firm can significantly affect the sales of the other firms in an oligopoly market.;Comprehension
define electronic commerce.;Knowledge
explain three ( 3 ) broad categories of e-commerce with examples.;Comprehension
discuss any three ( 3 ) ways by which an organization can benefit from e-commerce.;Comprehension
advise smith on any five ( 5 ) types of information which should be included in the website.;Synthesis
suggest any three ( 3 ) specific ways with elaborations on how this new business may utilize the internet technology to achieve cost efficiency.;Synthesis
differentiate between data and information using examples.;Analysis
state any four ( 4 ) characteristics of valuable information.;Knowledge
explain the differences between volatile and non-volatile storage.;Comprehension
suggest three ( 3 ) specific types of application software that may help to support james 's business activities.;Synthesis
list and describe three ( 3 ) accounting cycles in an accounting information system.;Knowledge
state four ( 4 ) basic business activities that are performed in the revenue cycle.;Knowledge
show in a step by step manner how tqm can be implemented successfully in education sector.;Application
list any three ( 3 ) practical approaches for payment collection in revenue cycle.;Knowledge
compare and contrast manufacturing resource planning ( mrp-ii ) and lean manufacturing.;Analysis
as a manager in an information technology firm , suggest and elaborate any three ( 3 ) actions that organizations can take as part of the responsibility towards the society.;Synthesis
illustrate each of these situations with two ( 2 ) real-life examples. ;Comprehension
explain the differences between ethical dilemma and ethical lapse.;Comprehension
suggest and justify one ( 1 ) strategy that your company may consider for marketing its products internationally.;Evaluation
differentiate between market economy and planned economy.;Analysis
provide each of market economy and planned economy with an example.;Comprehension
differentiate between a wholesaler and a retailer.;Analysis
in your opinion , identify the relationship between factors of and a country 's economic system.;Comprehension
briefly describe three ( 3 ) types of business process that traditionally organized around functional areas of business. provide an example of each.;Knowledge
propose and justify one ( 1 ) international market-entry strategy that you may consider to market your products internationally.;Evaluation
construct a basic diagram or figure to demonstrate your understandings on what information system is.;Comprehension
state a main difference between a customer and a contact.;Comprehension
identify one ( 1 ) most likely error of the following quotation.;Knowledge
determine which sub-stage that the deal is currently in for the following cases.;Application
three sales sub-stages : qualification , proposition and negotiation are included in both openerp and sugarcrm , before a deal is won. give a brief description of these sub-stages.;Comprehension
state your recommended solution with justification.;Evaluation
explain two ( 2 ) ways on how monopoly harms consumers and hurts the economy. justify and illustrate your answers.;Evaluation
suggest and elaborate any two ( 2 ) efforts or methods that your company may use in order to gain competitive advantage over your competitors.;Synthesis
justify your answers with elaborations by providing any two ( 2 ) reasons.;Evaluation
differentiate between data and information using a real life example.;Analysis
briefly discuss on the difference between volatile and non-volatile storage.;Comprehension
briefly discuss any three ( 3 ) specific internet technologies or tools that are commonly found in providing support for business activities.;Comprehension
provide a real life example on conflict of interest situation.;Comprehension
illustrate your understanding for oligopoly competition and monopolistic competition using one ( 1 ) real life example for each.;Comprehension
briefly discuss any two ( 2 ) consequences for whistle-blowing activity.;Comprehension
explain how porter 's concept can be used in education domain.;Application
list any two ( 2 ) real life examples of the organization that implement the clicks-and-bricks b2c e-commerce.;Knowledge
provide three ( 3 ) examples of input devices.;Knowledge
identify and discuss three ( 3 ) issues on employee productivity problems that companies face.;Comprehension
briefly provide any two ( 2 ) real life situations to illustrate on ethical dilemma.;Comprehension
propose an e-commerce classification model that suits the needs of john 's business. justify your answer.;Evaluation
explain the concept of clicks-and-bricks model in e-commerce.;Comprehension
explain each inventory control method and suggest two ( 2 ) types of products for each method.;Synthesis
list three ( 3 ) advantages and two ( 2 ) disadvantages codification.;Knowledge
identify and discuss three ( 3 ) issues on employee productivity problems that companies face.;Comprehension
give five ( 5 ) differences between the bitmapped image and vector graphics.;Comprehension
illustrate how the variable length encoding algorithm can be used to encode symbols 'sooosay t '.;Application
explain three ( 3 ) differences of red green blue ( rgb ) and cyan magenta yellow ( cmy ).;Comprehension
give five ( 5 ) guidelines when creating storyboarding.;Knowledge
discuss any three ( 3 ) advantages why digital video is preferred for video editing and post production.;Comprehension
give two ( 2 ) differences between unicode and is0-8859 text encoding formats.;Comprehension
define pixel.;Knowledge
name the two ( 2 ) categories and explain the differences between the two categories.;Comprehension
explain the wma , avi , and quicktime video format.;Comprehension
recommend to the management whether to use mp3 or realaudio file format images and state three ( 3 ) reasons for your recommendations.;Synthesis
determine the number of possible colors and calculate how much memory is required to represent the following bitmap images.;Application
justify which digital video file format you would use for your movie.;Evaluation
bitmap images imported into a macromedia flash presentation have limitations on how these images can be animated. elaborate on these limitations that may affect the output of the animation created by albert.;Comprehension
suggest an alternative to albert on how the above limitations may be overcome.;Synthesis
explain about interactive multimedia.;Comprehension
multimedia is shifting from being localized ( contained on a cd-rom ) to being distributed ( available on the world wide web ). give five ( 5 ) implications on this.;Knowledge
estimate the number of bytes required for the storage of a full 5 minutes performance at cd quality audio.;Application
briefly explain about nyquist theorem.;Comprehension
using nyquist theorem , calculate the maximum sampling rate to avoid aliasing.;Application
suggest three ( 3 ) steps that annie should do in multimedia authoring.;Synthesis
give four ( 4 ) advantages of multimedia application in education.;Knowledge
describe each of the media types : captured , synthesized , discrete and continuous. classify all the multimedia elements into the media types that described above.;Comprehension
explain on multimedia delivering on world wide web.;Comprehension
state and discuss on the general features of authoring tool.;Comprehension
justify why benny used mp3 instead of other audio format.;Evaluation
using nyquist theorem , calculate the maximum sampling frequency.;Application
briefly explain two ( 2 ) common techniques for data compression. illustrate your answer with an example of each type of compression.;Comprehension
briefly explain any two ( 2 ) reasons why multimedia is important for education.;Comprehension
list and explain the two ( 2 ) processes that can be done with the areas of the image that should be displayed in some color which is not available in the reduced palette.;Comprehension
derive the data rate that is generated by the digitization procedure in each case assuming that the nyquist theorem is applied with 12 bits per sample for the speech signal and 16 bits per sample for the music signal. give your answers in kilo -byte-per-second ( kb /s ). ;Application
determine the memory required to store a 2 minutes passage of stereophonic music.;Application
comment on the most appropriate methods in which to deliver such a presentation and also address the merits of the methods you suggest in your solution.;Evaluation
show how you would use huffman coding to encode the following set of tokens.;Application
calculate the compression ratio for the compressed file.;Application
explain why a 30-second video clip ( containing 25 frames per second ) will occupy less disk space than 750 jpeg images of the same size.;Comprehension
describe how spatial compression and temporal compression are used in video compression.;Application
describe what multimedia is.;Knowledge
define four ( 4 ) common authoring metaphors and its advantages and disadvantages.;Knowledge
give five ( 5 ) differences between the bitmapped image and vector graphics.;Comprehension
give five ( 5 ) differences between gif and swf.;Comprehension
estimate the time it would take to transmit the performance over a network with 64 kbps.;Application
discuss how inverse kinematics helps in simplifying the task of animating jointed structures.;Comprehension
elaborate one ( 1 ) scenario where text would be more effective than audio and one ( 1 ) scenario where audio would be more effective than text in the passing out of data. explain your answer.;Comprehension
gif and swf file format can be used to create animations. compare and state the major advantage and limitation of using gif rather than swf for creating animations in webpages.;Analysis
explain the idea of midi file format in storing and playback of audio data.;Comprehension
explain how midi file format will be more useful than other audio file formats in a certain scenario.;Application
propose a multimedia presentation for utar to promote bachelor 's degree courses to potential applicants.;Synthesis
apply the zero length suppression on the token stream.;Application
apply the run length encoding on the token stream.;Application
from your opinion , explain which one of the methods mentioned earlier is better for the given token stream.;Analysis
explain why 3d animation requires much time consuming and complicated in the development phase compared to 2d animation.;Analysis
predict the challenge to implement an augmented reality application in utar campus.;Application
design a possible website structure to teach writing skills to children aged 4-6. there should be at least 3 components.;Synthesis
explain why lossy compression gives better compression.;Comprehension
outline three ( 3 ) uses of digital audio in the multimedia presentation.;Knowledge
briefly discuss how spatial compression is different from temporal compression.;Comprehension
suggest how multimedia applications may be used for each of the scenarios below. ( i ) it avenue will be organising a road show at various shopping malls to promote a new model of mobile phone from nokia.;Application
explain why a less experienced multimedia developer ( including non-programmers ) always opts for multimedia authoring tools to easily create an interactive application.;Comprehension
explain whether howard can have the video streamed effectively at 1 mbps data rate on a 1 mbps internet connection.;Evaluation
suggest any three ( 3 ) scenarios where users may benefit from using video calls in their communication.;Synthesis
compare this piece of music with the music recorded in cd quality.;Comprehension
audio plays an important role in the development of multimedia. illustrate the relations that exist between wavelength , frequency and pitch of a digital audio.;Comprehension
video got its start on cathode ray tube television systems , but has moved on to be used in many more applications. relate the video transmission on television sets and computer monitors with interlacing and progressive scan techniques;Analysis
fill in the detail of typeface properties base on the following illustration.;Knowledge
distinguish the difference between low pass filter and high pass filter.;Analysis
explain what is meant by the term interactivity.;Comprehension
highlight three ( 3 ) differences between bitmap images and vector graphics.;Comprehension
considering linear multimedia and interactive multimedia , suggest the best solution to the shopping mall 's management.;Synthesis
nancy intends to include text for her multimedia presentation. as a multimedia specialist , provide two ( 2 ) guidelines to nancy when working with text.;Knowledge
based on your understanding , highlight three ( 3 ) differences between vector graphics and bitmap images.;Comprehension
recommend three ( 3 ) factors to be taken into consideration on the preparation of digital video delivery via low bandwidth networks and low-end computer systems.;Synthesis
briefly explain why authoring software is considered as `` high level tools '' whereas programming languages are known as `` low level tools `` .;Comprehension
explain why vle could be better than rle for this case.;Comprehension
calculate the number of bytes required to store a minute of stereo sound at dvd quality with the resolution of 32 bits. show your working and calculation.;Application
discuss any two ( 2 ) application areas where multimedia can be used in education environment.;Application
explain the usage of multimedia in healthcare.;Application
discuss any three ( 3 ) negative impacts of entertainment media to our society.;Comprehension
discuss one ( 1 ) similarity and one ( 1 ) difference between virtual reality and augmented reality.;Analysis
name the keyword in an abap program that can be used to invoke the debugging mode.;Knowledge
write an abap program that allows the user to key in a positive integer value.;Synthesis
provide ( with explanations ) three ( 3 ) differences programming and system programming.;Comprehension
write a java loop that will display the phrase one more time four times. include any declarations or initializing statements that are needed.;Comprehension
write a java program that lets the user enter a year and checks whether it is a leap year.;Synthesis
give the difference between parameter and formal parameter.;Comprehension
rewrite the following program so that it is formatted properly.;Application
rewrite the following if statement using a switch statement.;Application
use java math class and write the java statement for d = 2 * 2 + y * 2.          ;Application
compute the distance between the two points with the following formula.;Application
detect error ( s ) in the following segment of codes and rewrite the codes with correction of the error ( s ).;Comprehension
explain how the increment or decrement operators affect the result of p.;Comprehension
explain the concept of narrowing conversion. indicate in code how the conversion is done.;Comprehension
give the three ( 3 ) categories of primitive data types and briefly explain what each category is used for.;Knowledge
identify and correct the error ( s ) in the following statements.;Comprehension
provide three ( 3 ) situations whereby it will be useful to use reference variables as parameters.;Knowledge
provide the suitable commands to help her to compile and run her java program.;Knowledge
translate the following algorithm into java code;Comprehension
use a switch statement to rewrite the following if statement.;Application
simplify the return statement in the max method using the ternary operator;Comprehension
given that a = -10 , b = 2 , c = 5 and d = 0. evaluate the following relational and logical expressions :;Application
draw a flowchart that represents the following codes.;Comprehension
name and describe the two ways that the data source window allows data to be viewed.;Comprehension
write a statement to set the visibility property of label1 to the checked property of checkbox1.;Comprehension
write an assignment statement that disables a radiobutton named radiobutton.;Comprehension
explain how a close method behaves differently for a modelessform ( using the show method ) compared to a modal form ( using the showdialog method ).;Comprehension
name five types of common dialog boxes.;Knowledge
find the errors and rewrite the corrected codes.;Comprehension
state the differences between items add method and items insert method in combo box.;Knowledge
explain how swot and porter 's techniques is applied in the manufacturing industries.;Application
briefly explain the difference between form load event and form activated event.;Comprehension
discuss post and get methods in relation to idempotent and non-idempotent requests in the context of bank industry.;Comprehension
explain three ( 3 ) advantages of mvc ( model view controller ) pattern in developing web applications.;Comprehension
explain 3-tier architecture in the context of java web architecture at server side.;Comprehension
explain how requestdispatcher mechanism in the context of servlet and jsp technology has the ability to facilitate updating and maintaining information on job advertisements across several dynamic web pages.;Comprehension
explain greimas square tool and discuss how it can be applied the aviation industry.;Application
compare between url , re-writing and hidden form field methods in respect of similarities and differences in the context of session management in web environment.;Analysis
identify and explain the possible consequences of connecting a database with a web application without using database pooling method.;Comprehension
discuss one ( 1 ) advantage and one ( 1 ) disadvantage of basic and form based authentication mechanisms.;Comprehension
explain the benefits of secure sockets layer ( ssl ) in the context of web security.;Comprehension
explain the concept of java bean with an appropriate example and code snippets in the context of servlet and jsp technology.;Comprehension
discuss the effectiveness of using expression language ( el ) compared to other methods in jsp.;Analysis
implement working codes for presentation , business and data layers.;Application
propose java web architecture diagram for the above case study and explain.;Synthesis
discuss the usefulness of httpsessionactivationlistener in web applications.;Comprehension
describe the differences between http session listeners and servlet request listeners.;Comprehension
using an appropriate example , prove that listeners are able to manage resources effectively in web applications.;Evaluation
 `` http post method is better suited to send confidential information compared to http get method in web applications. '' justify the statement.;Evaluation
explain the impact of using sendredirect method in terms of response time.;Comprehension
explain three ( 3 ) benefits of jdbc pooling m the context of database connection.;Comprehension
discuss two ( 2 ) benefits of java servlets in web applications.;Comprehension
appraise the url rewriting , hidden form field and cookies methods which are supported by the technology.;Evaluation
ajax is a technology that is being widely used in web applications for faster response time. explain the necessary steps to implementing an ajax application.;Application
describe about application and web servers.;Knowledge
mvc ( model view controller ) leads to low coupling `` . justify.;Evaluation
using appropriate examples , discuss a situation in which custom tags would be appropriate to use.;Application
the impact of using jstl in software development can significantly reduce its development time. prove that there is some truth in the statement.;Evaluation
discuss in terms of implementation how to restrict resources such as web components and enterprise java bean ( ejb } components for use to only authorized users.;Application
discuss the effectiveness of post and get methods in respect of flexibility and security.;Analysis
jsp technology is meant to replace servlet technology. justify to what extent the statement is true.;Evaluation
explain the reasons of using application servers to deploy web applications.;Comprehension
explain why servlet technology is better than the common gateway interface cgi.;Comprehension
using an appropriate example , discuss how mvc can lead to a good design of a particular web application.;Comprehension
discuss why web developers or programmers would prefer to use expression language ( el ) compared to other methods in jsp for displaying dynamic content in web browsers.;Analysis
discuss the extent to which value chain analysis can be applied in the logistics sector.;Application
discuss a security framework for the proposed application.;Synthesis
discuss two ( 2 ) web application frameworks that are suitable to be used in the proposed application.;Synthesis
suggest a possible java web architecture ( s ) for the proposed application based on the case study.;Synthesis
popular search engines such as google , yahoo and others are used to search information on the web based on user defined keywords. determine and justify the appropriate http method that should be deployed by those search engines.;Evaluation
analyze the roles of web container or servlet container in a web server in the context of request response model.;Analysis
explain the impact of 'connection keep-alive ' or persistence connection in the context of request response model on performance of sending response to clients.;Comprehension
using an appropriate example , explain how static data can be shared effectively among several web resources.;Comprehension
critically evaluate the jdbc and pooling method in the context of database connections.;Evaluation
using an appropriate example , explain how session listeners can be used in a web application.;Application
http is a stateless protocol. justify.;Evaluation
explain the relationship between http get method and url rewriting in the context of session management.;Comprehension
explain how you would implement delete schedule functionality in effective manner. ;Comprehension
using the data shown in table 1 , generate some frequent item sets.;Application
interpret the relationship found between these item sets in terms of support , lift and confidence.;Comprehension
comment on the validity of your answer.;Evaluation
explain with appropriate examples how taxonomies would help analysis of items in market basket analysis.;Application
briefly discuss why the emergence of the data warehouse phenomenon is causing such interest in the business world.;Comprehension
contrast two ( 2 ) differences between a data mart and a data warehouse.;Analysis
recommend appropriate data warehouse architecture for the company and illustrate it with a diagram.;Synthesis
provide some justifications for the data warehouse architecture that you have chosen in q2 ( a ).;Evaluation
discuss some possible challenges that the bank may face in deploying data mining.;Comprehension
explain how gst approach can be deployed in the context of accounting information system.;Application
explain , using appropriate examples , five ( 5 ) possible sources of data pollution in implementing data warehouse in the bank.;Comprehension
identify some of the most important possible dimensions that should be included in the data modelling design.;Knowledge
discuss the role of restriction and aggregation in reducing the quantity of data and obtaining useful information from a data warehouse.;Comprehension
summarize the data purification process.;Comprehension
describe any five ( 5 ) possible scenarios of the project failure.;Knowledge
rearrange it to design the correct schema that is suitable for the system implementation.;Synthesis
discuss , using appropriate examples , how olap operations would benefit in the credit card company.;Comprehension
critically appraise of making data warehouse web enable in the company.;Evaluation
discuss how data mining operations which are classification , association , clustering and anomaly detection can be deployed in a variety of industries.;Application
discuss major tasks in data preprocessing.;Comprehension
explain the relationship between data warehouse and data mining.;Comprehension
differentiate between classification and prediction. justify your answer using an example for each.;Evaluation
explain k-means and k-medoids methods in the respect of robustness in the context of clustering analysis.;Comprehension
using appropriate examples , differentiate between agglomerative and divisive in the context of agglomerative hierarchical clustering.;Analysis
explain two ( 2 ) strengths and two ( 2 ) weaknesses of clustering based method in outlier detection.;Analysis
suggest two ( 2 ) ways of managing knowledge that organization can perform in order to gain sustainable advantage in today 's rapid changing market environment.;Synthesis
illustrate by using a real life example on explicit knowledge.;Comprehension
in general , there are four broad categories of innovation which include product innovation. illustrate your understanding by using two ( 2 ) real life examples for product innovation that follow the radical fashion.;Comprehension
explain how referral networks approach can be used as a tool to increase number of customers.;Application
identify any two ( 2 ) specific problems of the traditional hierarchical structures in response to the need to better manage knowledge.;Comprehension
propose any two ( 2 ) alternative solutions from organization structures perspective to facilitate the km practice. justify your answers with short elaborations.;Evaluation
identify any three ( 3 ) practical examples for partial views of innovation and discuss the consequences for each of the example.;Comprehension
draw and explain nonaka 's model of knowledge creation and transformation in detail.;Comprehension
illustrate by using a real life example on the possible relationship between data , information and knowledge.;Comprehension
use philanthropy approach to manage corporate social responsibility effectively.;Application
discuss the main purpose of quiet on-site observation technique.;Comprehension
discuss on the importance of km with specific reference to its impact on employee 's learning and process efficiency.;Analysis
state the differences between invention and innovation.;Comprehension
explain how e-mail agents work.;Comprehension
explain the crm implementation in chola ms.;Comprehension
propose the examples of how text mining could be used in other businesses.;Synthesis
identify the hp 's challenges in text mining.;Knowledge
provide five ( 5 ) examples on how hp can use text mining in other areas.;Application
justify why company xyz needs to use expert systems;Evaluation
explain the components of crm that citibank used.;Analysis
provide two ( 2 ) possible reasons why airasia decide to offer this new online service.;Comprehension
identify three ( 3 ) possible threats you should anticipate for this internet-based business.;Comprehension
suggest three ( 3 ) methods game2 can take to prevent damage to its web sites and continuing operations. justify your answer.;Evaluation
explain the concept of customer relationship management ( crm ).;Comprehension
apply porter 's five competitive forces analysis to examine the summer job industry for your uncle.;Application
discover four ( 4 ) characteristic of it infrastructure to be considered.;Synthesis
concisely define what swot analysis is and state why it is frequently producing conflicting views.;Comprehension
formulate the profit for the company.;Synthesis
information systems value is determined by the strong relationships among three ( 3 ) major components. name them.;Knowledge
cloud computing evolved from earlier technologies. state them.;Knowledge
briefly explain any two ( 2 ) observations of information technology trend using moore 's law.;Comprehension
relate cycle-time reduction to improved performance. justify your answer.;Evaluation
define privacy.;Knowledge
in your own words , describe supply chain management ( scm ).;Comprehension
in your opinion , discuss how modern supply chain management systems facilitate a pull-based model.;Comprehension
define the term radio frequency identification ( rfid ).;Knowledge
explain how rfid provides value to businesses.;Comprehension
use porter 's five competitive forces to analyze firedup , inc.;Application
base on the case study given , summarize three ( 3 ) ism security problems.;Comprehension
classify information systems based on the support is can provide.;Comprehension
draw the diagrams for a centralized database and a distributed database.;Comprehension
explain how the future of social media can be explained by web 3.0. ;Comprehension
define knowledge and provide an example of knowledge produced by a vehicle management system.;Knowledge
"given a frequency filter specification as h ( u ;v ) , derive a procedure to generate the convolution result of its corresponding spatial filter with an image f ( x ,y ).";Application
describe briefly how an image can be represented by chain coding and moments.;Comprehension
explain what is meant by occlusion and discuss the ability of chain coding to cope with occlusion.;Comprehension
specify two ( 2 ) limitations of k-means clustering.;Knowledge
calculate the fitness function for all chromosomes in the population.;Application
assuming the elitism selection method where the best chromosomes are selected for pairing , apply the crossover and mutation for the selected pair of chromosomes using the encoding scheme proposed in ( b ) ( i ).;Application
suggest a procedure which uses k-means as a subroutine with a better chance than k-means in obtaining good clustering.;Synthesis
solve the following problem using genetic algorithm.;Application
mlps are frequently used to approximate functions. however , the quality of the approximation depends on the parameters of the mlp used. discuss how this quality is affected by the number of hidden layers used in the mlp.;Comprehension
briefly explain how ant colony optimization ( aco ) algorithm can be used to solve travelling salesperson problem ( tsp ).;Application
explain how mutation technique can be implemented in genetic algorithm ( ga ).;Application
describe how hypotheses are combined in boosting.;Comprehension
describe dynamic load balancing using centralised work pool approach.;Comprehension
briefly explain why a parallel solution with less number of synchronisation phases is more preferred than other solution with a lot of synchronisation phases.;Comprehension
describe the sender-initiated task transfer method that used in dynamic load balancing.;Comprehension
there are two approaches to solve a problem , namely x and y. approach x uses a lot of synchronizations compared to approach y. briefly explain why the approach y should be chosen to solve the problem.;Analysis
identify paypal 's business model.;Knowledge
scaling methods can improve the performance of the web site. propose to jane which scaling method suit her current business needs. justify your answer.;Evaluation
examine how e-commerce facilitates value chain and supply chain.;Analysis
explain how auction is related to dynamic pricing.;Comprehension
compare and contrast address verification system ( avs ) and card verification number ( cvn ).;Analysis
